Team,Finals Appearances,Finals Wins,Finals Losses,GDP,Population,Champion Status
Boston/2011/NHL,18,12,6,91696467.0,2321003.0,True
Boston/2010/NBA,18,12,6,90260476.0,2246183.0,False
Boston/2008/NBA,18,12,6,85560148.0,2222424.0,True
Baltimore/2013/NFL,2,2,0,None,None,True
Baltimore/2001/NFL,2,2,0,None,None,True
Detroit/2012/MLB,7,3,4,82938171.0,2449342.0,False
Detroit/2006/MLB,7,3,4,91465734.0,2600257.0,False
Detroit/2009/NHL,7,3,4,74922059.0,2516023.0,False
Detroit/2008/NHL,7,3,4,84809838.0,2540485.0,True
Detroit/2002/NHL,7,3,4,89073982.0,2671605.0,True
Detroit/2005/NBA,7,3,4,92363394.0,2622968.0,False
Detroit/2004/NBA,7,3,4,91165220.0,2641856.0,True
St Louis/2019/NHL,7,4,3,72235760.0,1495566.0,True
St Louis/2013/MLB,7,4,3,68058446.0,1519873.0,False
St Louis/2004/MLB,7,4,3,66203443.0,1533132.0,False
St Louis/2011/MLB,7,4,3,67433307.0,1520001.0,True
St Louis/2006/MLB,7,4,3,66376410.0,1512550.0,True
St Louis/2002/NFL,7,4,3,64536941.0,1550911.0,False
St Louis/2000/NFL,7,4,3,64104045.0,1563773.0,True
Kansas City/2020/NFL,5,4,1,59336051.15,2960784.0,True
Kansas City/2015/MLB,5,4,1,55975334.0,2860364.0,True
Kansas City/2014/MLB,5,4,1,54429697.0,2840037.0,False
Kansas City/2013/MLS,5,4,1,53596025.0,2824775.0,True
Kansas City/2000/MLS,5,4,1,51667369.85,2522922.0,True
Kansas City/2004/MLS,5,4,1,52845447.0,2616296.0,False
Charlotte/2016/NFL,2,0,2,91539788.0,1088871.0,False
Charlotte/2004/NFL,2,0,2,65636523.0,809442.0,False
Las Vegas/2018/NHL,1,0,1,107500238.0,3154482.0,False
New York City/2015/MLB,16,6,10,797036410.0,28752318.0,False
New York City/2003/MLB,16,6,10,601407000.0,27703319.0,False
New York City/2001/MLB,16,6,10,625995340.0,27686032.0,False
New York City/2000/MLB,16,6,10,638875293.0,27599619.0,False
New York City/2014/NHL,16,6,10,779408301.0,28715058.0,False
New York City/2012/NHL,16,6,10,752169509.0,28545379.0,False
New York City/2001/NHL,16,6,10,625995340.0,27686032.0,False
New York City/2012/NFL,16,6,10,752169509.0,28545379.0,True
New York City/2008/NFL,16,6,10,632329780.0,27517230.0,True
New York City/2009/MLB,16,6,10,671388080.0,27621776.0,True
New York City/2000/MLB,16,6,10,638875293.0,27599619.0,True
New York City/2008/MLS,16,6,10,632329780.0,27517230.0,False
New York City/2003/NBA,16,6,10,601407000.0,27703319.0,False
New York City/2002/NBA,16,6,10,609311150.0,27712259.0,False
New York City/2003/NHL,16,6,10,601407000.0,27703319.0,True
New York City/2000/NHL,16,6,10,638875293.0,27599619.0,True
New York City/2001/NFL,16,6,10,625995340.0,27686032.0,False
Cleveland/2018/NBA,6,1,5,86762595.0,1241788.0,False
Cleveland/2017/NBA,6,1,5,84385012.0,1247808.0,False
Cleveland/2015/NBA,6,1,5,82816568.0,1259109.0,False
Cleveland/2007/NBA,6,1,5,84228811.0,1300523.0,False
Cleveland/2016/MLB,6,1,5,83020201.0,1254324.0,False
Cleveland/2016/NBA,6,1,5,83020201.0,1254324.0,True
Columbus/2020/CF,7,4,3,100689281.25,5454273.0,False
Columbus/2007/CF,7,4,3,81596472.0,4922160.0,False
Columbus/2006/CF,7,4,3,80414115.0,4879559.0,False
Columbus/2020/MLS,7,4,3,100689281.25,5454273.0,True
Columbus/2008/MLS,7,4,3,81016381.0,4968048.0,True
Columbus/2015/MLS,7,4,3,95896537.0,5297782.0,False
Columbus/2014/CF,7,4,3,94223997.0,5263188.0,True
Columbus/2002/CF,7,4,3,75435780.0,4716294.0,True
Oklahoma City/2012/NBA,1,0,1,63127751.0,5057489.0,False
Portland/2018/MLS,1,1,0,61988262.0,809448.0,False
Portland/2015/MLS,1,1,0,53222514.0,790723.0,True
Eugene/2014/CF,2,0,2,12980087.0,359939.0,False
Eugene/2010/CF,2,0,2,12597100.0,354528.0,False
Nashville/2017/NHL,1,0,1,60762154.0,853297.0,False
Dallas/2020/NHL,4,1,3,329107918.55,4772959.0,False
Dallas/2000/NHL,4,1,3,205300724.45,3231483.0,False
Dallas/2011/NBA,4,1,3,247072861.0,4046965.0,True
Dallas/2010/MLS,4,1,3,236194624.0,4028717.0,False
Dallas/2006/NBA,4,1,3,232072066.0,3702788.0,False
Houston/2019/MLB,5,3,2,432465552.0,9857636.0,False
Houston/2005/MLB,5,3,2,294000962.0,7737904.0,False
Houston/2017/MLB,5,3,2,414239096.0,9702500.0,True
Houston/2012/MLS,5,3,2,369123365.0,8997306.0,False
Houston/2011/MLS,5,3,2,354746236.0,8854354.0,False
Houston/2007/MLS,5,3,2,340586678.0,8008615.0,True
Houston/2006/MLS,5,3,2,313880348.0,7892989.0,True
San Antonio/2014/NBA,5,4,1,82825816.0,1857977.0,True
San Antonio/2007/NBA,5,4,1,72992061.0,1592798.0,True
San Antonio/2005/NBA,5,4,1,67476912.0,1514292.0,True
San Antonio/2003/NBA,5,4,1,63219283.0,1461002.0,True
San Antonio/2013/NBA,5,4,1,79541386.0,1821354.0,False
Arlington/2011/MLB,2,0,2,88591133.0,1848598.0,False
Arlington/2010/MLB,2,0,2,87659754.0,1827214.0,False
Salt Lake City/2013/MLS,1,1,0,68601136.0,1079661.0,False
Salt Lake City/2009/MLS,1,1,0,61430547.0,1018847.0,True
Seattle/2020/MLS,5,3,2,287144969.55,2344791.0,False
Seattle/2017/MLS,5,3,2,256067584.0,2278434.0,False
Seattle/2019/MLS,5,3,2,294329768.0,2324065.0,True
Seattle/2016/MLS,5,3,2,240149410.0,2240677.0,True
Seattle/2015/NFL,5,3,2,229721323.0,2199704.0,False
